userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,11,5.0,964982931
1,13,3.5,964983815
1,20,4.5,964982400
2,1,3.5,964980100
2,4,4.0,964980200
2,5,5.0,964980300
2,8,4.5,964980400
2,12,4.0,964980500
2,15,5.0,964980600
3,3,3.0,965001000
3,6,4.5,965002000
3,9,5.0,965003000
3,10,5.0,965004000
3,17,4.0,965005000
3,19,4.5,965006000
4,1,2.5,966000100
4,2,3.0,966000200
4,7,3.5,966000300
4,11,4.0,966000400
4,16,4.5,966000500
4,24,5.0,966000600
5,3,4.0,967100100
5,5,3.5,967100200
5,8,4.0,967100300
5,14,3.0,967100400
5,18,4.5,967100500
5,25,3.5,967100600
6,1,4.5,968200100
6,6,3.5,968200200
6,9,4.0,968200300
6,13,3.0,968200400
6,22,5.0,968200500
6,27,4.0,968200600
7,2,3.0,969300100
7,4,4.5,969300200
7,10,5.0,969300300
7,15,4.5,969300400
7,19,4.0,969300500
7,21,3.5,969300600
8,3,2.5,970400100
8,8,3.5,970400200
8,11,4.0,970400300
8,12,5.0,970400400
8,23,4.5,970400500
8,26,3.0,970400600
9,1,5.0,971500100
9,5,4.0,971500200
9,9,4.5,971500300
9,14,3.5,971500400
9,17,4.0,971500500
9,20,5.0,971500600
10,2,4.0,972600100
10,6,3.0,972600200
10,10,4.5,972600300
10,16,5.0,972600400
10,22,4.0,972600500
10,25,3.5,972600600
11,3,3.5,973700100
11,7,4.0,973700200
11,11,5.0,973700300
11,15,4.5,973700400
11,19,3.5,973700500
11,24,4.0,973700600
12,1,3.0,974800100
12,4,4.5,974800200
12,8,3.5,974800300
12,12,4.0,974800400
12,18,5.0,974800500
12,21,4.5,974800600
13,5,4.0,975900100
13,9,3.5,975900200
13,13,4.5,975900300
13,17,4.0,975900400
13,23,3.0,975900500
13,27,5.0,975900600
14,2,3.5,977000100
14,6,4.0,977000200
14,10,5.0,977000300
14,14,3.0,977000400
14,20,4.5,977000500
14,26,4.0,977000600
15,1,4.0,978100100
15,3,3.5,978100200
15,7,4.5,978100300
15,11,5.0,978100400
15,16,4.0,978100500
15,25,3.0,978100600
16,4,4.5,979200100
16,8,3.0,979200200
16,12,4.0,979200300
16,19,5.0,979200400
16,22,3.5,979200500
16,28,4.0,979200600
17,1,3.5,980300100
17,5,4.5,980300200
17,9,4.0,980300300
17,15,5.0,980300400
17,21,3.0,980300500
17,29,4.5,980300600
1,3,5.0,981400100
2,1,4.0,981400200
3,19,5.0,981400300
